,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,target,w_1servewon_per,l_1servewon_per,break_points_made,break_points_recieved
50826,6,4,56,40,31,9,9,1,1,1,1,63,41,27,9,9,3,6,1,77,65,3,0
50834,10,2,41,32,26,6,8,0,0,0,4,48,30,17,6,8,0,4,1,81,56,4,0
34177,9,2,120,89,61,18,16,16,18,7,1,108,70,46,18,15,9,13,0,68,65,4,2
34339,5,1,44,27,24,13,9,0,0,4,1,50,30,23,9,9,2,5,0,88,76,3,0
34652,1,6,149,97,58,31,18,14,18,5,2,128,67,48,32,18,8,11,0,59,71,3,4
35384,2,2,58,33,25,13,10,5,7,5,4,80,44,27,13,11,4,9,0,75,61,5,2
35616,2,7,106,58,34,18,14,10,17,5,2,77,44,26,14,14,4,10,0,58,59,6,7
35827,4,1,49,38,32,9,10,0,0,8,4,63,42,30,9,9,2,4,0,84,71,2,0
35950,9,3,122,68,52,35,21,4,5,12,9,135,79,61,29,20,7,11,0,76,77,4,1
36144,4,3,104,70,42,16,14,9,14,7,2,96,51,29,20,13,6,13,0,60,56,7,5
36169,7,0,48,27,26,14,10,0,0,1,3,58,36,23,12,10,1,4,0,96,63,3,0
36369,15,1,68,45,40,14,14,1,2,10,3,90,62,46,11,13,4,7,0,88,74,3,1
36457,3,2,52,33,30,12,10,2,2,3,1,65,38,27,13,10,2,4,0,90,71,2,0
36505,2,6,62,27,20,17,10,5,7,5,1,74,34,21,17,10,8,12,0,74,61,4,2
36810,6,2,78,49,33,17,12,2,4,5,6,107,62,35,26,12,8,11,0,67,56,3,2
36908,0,3,52,34,25,10,8,3,4,2,2,64,27,16,16,8,7,11,0,73,59,4,1
37152,4,2,104,59,48,24,16,7,8,1,5,106,57,41,23,16,5,9,0,81,71,4,1
37231,4,4,120,67,49,25,17,11,14,6,8,116,61,43,24,16,12,18,0,73,70,6,3
37322,7,1,49,32,28,12,10,0,0,4,2,63,43,28,11,10,1,3,0,87,65,2,0
37410,9,2,85,63,44,11,14,3,6,14,4,95,63,39,17,13,8,12,0,69,61,4,3
37468,5,4,64,37,32,11,10,3,4,4,3,59,35,23,13,10,3,6,0,86,65,3,1
37541,8,3,125,87,61,24,22,4,8,12,8,155,99,65,26,22,13,18,0,70,65,5,4
37858,7,2,47,30,25,12,9,2,2,2,5,51,32,23,7,9,2,5,0,83,71,3,0
37882,0,2,49,26,21,12,8,2,3,4,5,66,29,16,15,8,10,15,0,80,55,5,1
